CRN1,SUBJECT,COURSE_TITLE,PROF,MEET_DAYS,CLASS_TIME,ROOM,MAX_ENROLL,CURR_ENROLL,OPEN_SEATS,REQUIREMENT,NOTES
60131,COM 280-0,Intercultural Communication,Spikes A,  T  R  ,1135 - 1250pm, ,30,0,30,JEC,O
60132,COM 325-0,Exploring Fake News,Bailey I,  T  R  ,0110 - 0225pm,CHAM 1111,30,0,30,JEC LTRQ,H
60133,COM 360-0,Rhetorics of Space/Place,Fallah A, M  W  F ,0110 - 0200pm, ,30,0,30,LTRQ,O
60134,COM 495-0,Comm. Theory & Research,Martinez A,     F ,0110 - 0400pm, ,20,0,20,NONE,"4,PRM,O"
60135,CSC 110-0,Data Science & Society,Heyer L,  T  R  ,1135 - 1250pm, ,24,0,24,JEC MQRQ,O
60136,CSC 120-0,Programming in the Humanities,Kabala J,  T  R  ,0815 - 0930am, ,12,0,12,MQRQ,"XLST,O"
60137,CSC 121-A,Programming & Problem Solving,Peck T,      ,TBA , ,24,0,24,MQRQ,O
60138,CSC 121-B,Programming & Problem Solving,Ramanujan R,      ,TBA , ,24,0,24,MQRQ,O
60139,CSC 121-C,Programming & Problem Solving,Pulaj J,      ,TBA , ,24,0,24,MQRQ,O
60140,CSC 200-0,REG FOR PHY 200 CRN 60380,Kuchera M,      ,TBA , ,0,0,0,MQRQ,"XLST,O"
60141,CSC 209-0,REG FOR BIO 209 CRN 60064,Thurtle-Schmidt D,  T  R  ,0815 - 0930am, ,0,0,0,MQRQ,"XLST,R,O"
60142,CSC 210-0,REG FOR MAT 210 CRN 60336,Chartier T,      ,TBA , ,0,0,0,MQRQ,"XLST,PRQ,O"
60143,CSC 220-0,Discrete Structures,Wiedenbeck B,  T  R  ,0815 - 0930am, ,20,0,20,MQRQ,"XLST,PRQ,O"
60144,CSC 221-A,Data Structures,Miazi S,  T  R  ,0950 - 1105am, ,24,0,24,MQRQ,"PRQ,O"
60145,CSC 221-B,Data Structures,Miazi S,  T  R  ,1135 - 1250pm, ,24,0,24,MQRQ,"PRQ,O"
60146,CSC 250-A,Computer Organization,Wiedenbeck B,  T  R  ,0110 - 0225pm, ,24,0,24,NONE,"PRQ,O"
60147,CSC 250-B,Computer Organization,Wiedenbeck B,  T  R  ,0245 - 0400pm, ,24,0,24,NONE,"PRQ,O"
60148,CSC 315-0,REG FOR MAT 315 CRN 60340,Chartier T,      ,TBA , ,0,0,0,NONE,"XLST,PRQ,O"
60149,CSC 321-0,Analysis of Algorithms,Pulaj J,  T  R  ,0110 - 0225pm, ,24,0,24,NONE,"PRQ,O"
60150,CSC 362-0,Data Visualization,Peck T, M  W   ,0730 - 0845pm, ,24,0,24,NONE,"PRQ,O"
60151,CSC 371-0,Machine Learning,Ramanujan R,  T  R  ,0245 - 0400pm, ,24,0,24,NONE,"PRQ,O"
60152,CSC 381-0,Recommender Systems Research,Seminario C,  T  R  ,1135 - 1250pm,WATSON 147,18,0,18,NONE,"PRQ,H"
60153,CSC 382-0,Systems Seminar,Miazi S, M  W  F ,1200 - 1250pm, ,24,0,24,NONE,"PRQ,O"
60154,DAN 142-0,Movement Lab,Bory A, M  W   ,0220 - 0420pm,BAKER STUDIO_B,15,0,15,VPRQ,H
60154,DAN 142-0,Movement Lab,Bory A, M  W   ,0220 - 0420pm,BAKER STUDIO_A,15,0,15,VPRQ,H
